"","anon_id","count_will_construction","count_goingTo_construction","gender","birth_year","native_language","language_used_at_home","non_native_language_1","yrs_of_study_lang1","study_in_classroom_lang1","ways_of_study_lang1","non_native_language_2","yrs_of_study_lang2","study_in_classroom_lang2","ways_of_study_lang2","non_native_language_3","yrs_of_study_lang3","study_in_classroom_lang3","ways_of_study_lang3","course_history","yrs_of_english_learning","yrs_in_english_environment","age","semester","LCT_Form","LCT_Score","MTELP_Form","MTELP_I","MTELP_II","MTELP_III","MTELP_Conv_Score","Writing_Sample"
"238","bm3",3,0,"Male",1984,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","219;230;241;252;263;288;299","more than 5 years","less than 1 year",23,"2007_summer",1,24,"Q",27,23,16,81,4.2
"239","bm4",7,3,"Female",1970,"Chinese","Chinese","English","3-5 years","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","Japanese","less than 1 year","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","","","no","","580;581;582;584","more than 5 years","3-5 years",38,"2009_fall",NA,29,"",30,24,13,81,4.3
"240","bm5",20,0,"Male",1972,"Other","","Russian","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in Russian;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","343;347;354;355;356","more than 5 years","more than 5 years",35,"2008_spring",1,26,"Q",17,20,11,67,4
"241","bm6",54,12,"Male",1988,"Arabic","Arabic","English","3-5 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","156;167;179;200;213;224;238;249;257;276;287;298;320;353;354;355;356;357","1-2 years","1-2 years",19,"2007_spring",1,12,"R",8,7,10,41,1.7
"242","bm7",25,1,"Female",1975,"Portuguese","Portuguese;Spanish;French","French","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in French;Teacher corrected my mistakes;Wrote paragrphs/essays","Spanish","3-5 years","no","Studied by myself;I learned from my friend who is a native speaker;other","","","no","","277;288;299;321;338;339;342;350;351","3-5 years","none",32,"2007_fall",1,19,"Q",18,23,14,71,4.3
"243","bm8",17,1,"Male",1980,"Arabic","Arabic","English","1-2 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","657;658;659;660;661;724;725;726;727;728;798;801;883;884;885;886;887","1-2 years","none",30,"2010_summer",2,17,"P",8,12,6,42,3
"244","bm9",17,1,"Female",1982,"Chinese","Chinese;Taiwanese","Taiwanese","none","no","I lived in a country where they spoke Taiwanese","","","no","","","","no","","445;446;449;453;454","more than 5 years","less than 1 year",26,"2008_fall",2,27,"P",26,31,11,82,3.9
"245","bn1",0,0,"Unknown",NA,"Chinese","","","","","","","","","","","","","","","","",NA,"2012_summer",1,7,"P",14,13,9,55,3.6
"246","bn3",0,0,"Female",NA,"Japanese","","","","","","","","","","","","","","","","",NA,"2012_summer",1,9,"P",16,16,6,57,2.6
"247","bn5",21,2,"Male",1968,"Arabic","Arabic","English","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","410;414;421;422;423;475;479;496;497;498","more than 5 years","more than 5 years",40,"2008_fall",2,19,"P",9,12,2,39,4.2
"248","bn6",12,1,"Male",1986,"Arabic","Arabic;English","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","860;861;862;871;872;930;947;948;949;951;998;999;1000;1001;1002","more than 5 years","1-2 years",24,"2011_summer",NA,25,"",12,22,8,61,3.5
"249","bn7",96,6,"Male",1990,"Arabic","Arabic","English","more than 5 years","no","Studied by myself","","","no","","","","no","","508;509;510;511;512;564;575;576;577;578;621;641;642;643;644;695;699;701","more than 5 years","none",19,"2009_summer",2,12,"P",9,10,7,42,2
"250","bo0",20,2,"Female",1978,"Korean","Korean","English","less than 1 year","yes","Studied grammar;Studied vocabulary;Practiced reading aloud","Japanese","less than 1 year","yes","Studied grammar;Studied vocabulary;Practiced reading aloud","","","no","","269;280;291;313","1-2 years","none",28,"2007_fall",1,15,"Q",14,13,8,53,2
"251","bo1",0,0,"Male",NA,"Chinese","","","","","","","","","","","","","","","","",NA,"2012_summer",1,18,"P",15,14,7,55,2.7
"252","bo4",12,4,"Male",1984,"Korean","Korean","","","","","","","","","","","","","101;113;125;149","more than 5 years","less than 1 year",23,"2006_fall",1,23,"P",24,18,15,72,3.5
"253","bo5",0,2,"Female",NA,"Turkish","","","","","","","","","","","","","","","","",NA,"2012_spring",1,15,"Q",11,8,4,39,3.6
"254","bo8",3,0,"Female",1975,"Chinese","Chinese","English","3-5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes","","","no","","","","no","","102;114;123;150","more than 5 years","none",31,"2006_fall",1,11,"Q",20,16,4,59,4.5
"255","bp2",26,8,"Female",1982,"Chinese","Chinese;Taiwanese","English","more than 5 years","yes","Had a native-speaker teacher;Practiced speaking in class;Teacher corrected my mistakes","French","less than 1 year","yes","Studied vocabulary;Practiced speaking in class","Japanese","less than 1 year","yes","Studied vocabulary;Practiced speaking in class","480;481;484;506;507;538;539;540;541;542;580","more than 5 years","1-2 years",27,"2009_spring",1,27,"Q",21,14,11,65,3.5
"256","bp4",29,0,"Male",NA,"Chinese","","","","","","","","","","","","","","","","",NA,"2010_summer",1,22,"Q",11,12,10,48,3.2
"257","bp5",23,0,"Female",NA,"Chinese","","","","","","","","","","","","","","","","",NA,"2010_fall",2,15,"",22,23,8,70,3
"258","bp6",0,0,"Female",1977,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Wrote paragrphs/essays","German","1-2 years","yes","Studied grammar;Studied vocabulary","","","no","","447","more than 5 years","1-2 years",31,"2008_fall",2,28,"P",31,10,11,70,4
"259","bp8",25,7,"Female",1981,"Arabic","Arabic","English","3-5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Practiced reading aloud","","","no","","","","no","","31;32;33;34;35;46;59;68;79;92;164;175;186;208","more than 5 years","none",24,"2006_spring",1,13,"P",14,8,3,41,2
"260","bp9",0,1,"Male",1982,"Korean","Korean","","","","","","","","","","","","","384;385;388;396;397","more than 5 years","less than 1 year",26,"2008_summer",2,28,"P",17,17,9,62,4
"261","bq0",14,8,"Female",1987,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","476;477;478;479;485;538;539;540;541;542","more than 5 years","less than 1 year",21,"2009_spring",1,26,"Q",15,19,9,62,2.7
"262","bq3",7,0,"Male",1976,"Arabic","Arabic;English","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes","French","less than 1 year","yes","Studied grammar;Studied vocabulary;Teacher spoke to me in French;Studied pronunciation","","","no","","617;618;619;620;621;690;691;692;693;694;756;757;758","more than 5 years","none",34,"2010_spring",NA,25,"",34,27,13,84,4.7
"263","bq4",3,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA,"2012_spring",1,24,"Q",14,14,12,59,3.3
"264","bq8",17,0,"Male",1984,"Korean","Korean","","","","","","","","","","","","","619;620;637;638;640;697;698","1-2 years","less than 1 year",26,"2010_spring",NA,24,"",28,30,11,82,4.4
"265","bq9",0,0,"Female",NA,"Korean","","","","","","","","","","","","","","","","",NA,"2012_summer",1,17,"P",8,14,2,40,3.1
"266","br1",2,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA,"2012_summer",1,19,"Q",23,29,8,75,2.3
"267","br2",8,1,"Female",1984,"Spanish","Spanish","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","575;576;579;582;583;694","less than 1 year","3-5 years",25,"2009_fall",NA,28,"",16,11,25,70,2.7
"268","br3",3,0,"Male",1977,"Arabic","Arabic;English","English","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Wrote paragrphs/essays;other","","","no","","","","no","","384;385;386;387;388","more than 5 years","more than 5 years",31,"2008_summer",2,23,"P",31,21,10,78,3.3
"269","br4",29,1,"Female",1985,"Arabic","Arabic","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Practiced reading aloud;Teacher corrected my mistakes","","","no","","","","no","","749;750;752;753;797;798;800;801;812","more than 5 years","less than 1 year",25,"2010_fall",NA,24,"Q",16,13,13,61,4
"270","br5",45,10,"Male",1981,"Korean","Korean","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","328;329;330;331;332;384;385;386;387;388","less than 1 year","less than 1 year",26,"2008_spring",1,19,"Q",16,10,7,48,1.5
"271","br6",9,1,"Female",1982,"Arabic","Arabic;English","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","480;481;484;506;507;580;581;594","more than 5 years","1-2 years",26,"2009_spring",1,29,"Q",26,16,10,70,3.8
"272","br7",30,1,"Female",1981,"Chinese","Chinese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","353;354;355;356;357;389;390;391;392;393","more than 5 years","1-2 years",27,"2008_spring",1,26,"Q",28,20,15,79,3.8
"273","br8",10,16,"Male",1983,"Arabic","Arabic;French","French","3-5 years","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in French;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","English","1-2 years","yes","Studied grammar;Studied vocabulary;Teacher spoke to me in English","","","no","","323;325;326;327;334;366;372;373;374;375;434;440;441","less than 1 year","none",24,"2008_spring",1,7,"Q",6,8,7,37,1
"274","br9",3,1,"Female",1981,"Chinese","Chinese","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","868;869;870;871;872;947;951;953","more than 5 years","less than 1 year",29,"2011_summer",NA,23,"",30,13,10,70,3.5
"275","bs0",9,1,"Female",1985,"Korean","Korean","Chinese","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Chinese;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","369;375;376;377;378","more than 5 years","less than 1 year",22,"2008_summer",2,20,"P",14,12,5,47,3.8
"276","bs1",22,1,"Female",1975,"Japanese","Japanese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes","","","no","","","","no","","98;110;120;146;162;173;180;206;220;231;238;249;264","less than 1 year","less than 1 year",31,"2006_fall",1,5,"P",15,14,9,57,3.5
"277","bs2",10,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA,"2012_summer",1,22,"P",20,15,1,55,2.9
"278","bs3",3,0,"Female",1965,"Korean","Korean","English","3-5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","German","1-2 years","yes","Studied grammar;Studied vocabulary;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","","","no","","571;634","more than 5 years","less than 1 year",45,"2009_fall",NA,25,"",32,28,15,85,2.7
"279","bs5",19,1,"Male",1984,"Arabic","Arabic","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Wrote paragrphs/essays","","","no","","","","no","","657;658;659;660;661;724;725;726;727;728;801;802;803;804;805;873;874;875;876;877","less than 1 year","less than 1 year",26,"2010_summer",1,13,"Q",18,11,9,57,2.6
"280","bs6",3,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA,"2012_summer",1,15,"R",8,14,11,48,2.2
"281","bs9",16,0,"Male",1966,"Arabic","Arabic","French","3-5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in French;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","508;509;510;511;512;569;570;571;572;573","less than 1 year","less than 1 year",43,"2009_summer",2,10,"P",15,11,3,45,3.7
"282","bt1",1,3,"Female",1983,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Teacher spoke to me in English;Teacher corrected my mistakes","","","no","","","","no","","42;53;63;74;86;101;113;122;149;160;171;182;204;238;259","more than 5 years","none",22,"2006_summer",1,5,"R",19,9,4,48,1.6
"283","bt2",5,6,"Male",1987,"Arabic","Arabic","English","more than 5 years","yes","Studied grammar;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher corrected my mistakes","","","no","","","","no","","1;7;13;19;26;43;54;65;76;91;102;114;126;154","more than 5 years","less than 1 year",18,"2006_spring",1,13,"P",12,4,8,40,0
"284","bt7",10,0,"Male",1991,"Arabic","Arabic","English","less than 1 year","no","Studied by myself","","","no","","","","no","","619;620;649;650;651;672;673;676;692;693;733;734;753","less than 1 year","none",18,"2010_spring",NA,21,"",11,8,8,43,2.7
"285","bt8",15,3,"Female",1972,"Spanish","Spanish","English","3-5 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","562;563;564;596;597","3-5 years","none",37,"2009_fall",NA,11,"",13,15,8,55,2.3
"286","bu0",2,1,"Male",NA,"Korean","","","","","","","","","","","","","","","","",NA,"2011_fall",1,23,"",23,18,15,72,3.8
"287","bu1",50,14,"Female",1981,"Japanese","Japanese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Practiced reading aloud","","","no","","","","no","","528;529;530;531;532;590;591;592;593;594","more than 5 years","more than 5 years",27,"2009_summer",2,23,"P",16,16,9,60,3.7
"288","bu4",26,3,"Female",1976,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","French","3-5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Teacher corrected my mistakes","","","no","","217;228;242;253;261;287","more than 5 years","less than 1 year",31,"2007_summer",1,28,"Q",26,20,15,77,3
"289","bu6",5,0,"Unknown",NA,"Chinese","","","","","","","","","","","","","","","","",NA,"2009_summer",2,22,"P",9,14,10,48,3.7
"290","bu8",3,5,"Female",NA,"Arabic","","","","","","","","","","","","","","","","",NA,"2008_fall",2,12,"Q",10,15,3,44,2.5
"291","bu9",25,7,"Female",1969,"Chinese","Chinese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Teacher spoke to me in English","","","no","","","","no","","328;330;331;332;339;384;386;387;388;390","more than 5 years","less than 1 year",39,"2008_spring",1,17,"Q",10,13,7,46,3.8
"292","bv0",6,2,"Female",NA,"Arabic","","","","","","","","","","","","","","","","",NA,"2008_spring",1,28,"Q",29,21,12,78,4.2
"293","bv1",33,3,"Male",1977,"Arabic","Arabic","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","475;476;477;478;479;538;539;542;543;544;581;584;641","less than 1 year","less than 1 year",29,"2009_spring",1,19,"Q",16,8,5,45,3.3
"294","bv2",13,1,"Male",1985,"Arabic","Arabic;English","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","Russian","none","no","Studied by myself;I learned from my friend who is a native speaker;I lived in a country where they spoke Russian","Turkish","none","no","Studied by myself;I learned from my friend who is a native speaker;I lived in a country where they spoke Turkish","555;556;559;577;578;600;622;623;639;640","more than 5 years","1-2 years",24,"2009_fall",NA,21,"",8,12,13,48,2.5
"295","bv5",8,2,"Male",1985,"Arabic","Arabic","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes","","","no","","","","no","","3;9;15;21;27;49;57;71;82;93;117","more than 5 years","none",21,"2006_summer",1,21,"P",18,15,8,60,2.6
"296","bv8",7,0,"Unknown",NA,"Chinese","","","","","","","","","","","","","","","","",NA,"2011_fall",1,20,"",13,16,17,65,4.1
"297","bv9",31,4,"Male",1986,"Korean","Korean","English","3-5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Practiced reading aloud","","","no","","","","no","","560;561;562;563;564;632;633;634;635;636;679;687;698;699;701;754;755;758;806","3-5 years","less than 1 year",22,"2009_fall",NA,17,"",7,11,10,44,1.5
"298","bw1",8,3,"Female",NA,"Turkish","","","","","","","","","","","","","","","","",NA,"2009_spring",1,16,"Q",12,16,10,57,2.8
"299","bw2",30,0,"Male",1986,"Arabic","Arabic","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","855;856;857;858;859;948;950;952;956;957;998;999;1000;1001;1002","less than 1 year","less than 1 year",25,"2011_summer",2,18,"R",24,15,6,64,3.5
"300","bw3",21,4,"Female",1986,"Korean","Korean;English","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud","German","1-2 years","yes","Studied grammar;Studied vocabulary;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","Japanese","less than 1 year","no","other","161;172;183;194;205;220;231;242;253;264","more than 5 years","1-2 years",20,"2007_spring",1,20,"R",27,15,12,20,4.6
"301","bw4",12,0,"Male",1991,"Arabic","Arabic","English","less than 1 year","no","Studied by myself;I learned from my friend who is a native speaker","","","no","","","","no","","720;724;726;727;728;793;796;807;809;810;866;873;875;876;877","3-5 years","less than 1 year",19,"2010_fall",2,26,"",23,19,10,70,1.8
"302","bw5",17,0,"Male",1977,"Arabic","Arabic;English","Arabic","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in Arabic;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","English","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","607;608;614;615;616;666;677;678;708","more than 5 years","3-5 years",35,"2010_spring",2,18,"P",15,13,6,51,1.3
"303","bw6",5,0,"Male",1984,"Arabic","Arabic;English","English","less than 1 year","no","Studied by myself;I learned from my friend who is a native speaker;other","","","no","","","","no","","430;432;433;434;441;500;501;504;506;507;541;542","less than 1 year","1-2 years",24,"2008_fall",2,16,"Q",25,23,11,74,5
"304","bw9",14,0,"Male",NA,"Chinese","","","","","","","","","","","","","","","","",NA,"2010_summer",1,28,"Q",17,17,11,64,3.5
"305","bx3",13,0,"Male",1984,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Practiced reading aloud","","","no","","","","no","","160;171;182;193;204","3-5 years","less than 1 year",24,"2007_spring",1,25,"R",20,16,13,68,3
"306","bx4",0,0,"Female",1984,"Chinese","Taiwanese;Chinese","English","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English","","","no","","","","no","","729;730;735;736;737;803","more than 5 years","less than 1 year",26,"2010_fall",2,24,"",19,12,8,58,3.5
"307","bx5",46,12,"Male",1983,"Arabic","Arabic","Arabic","more than 5 years","no","I lived in a country where they spoke Arabic","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Wrote paragrphs/essays","","","no","","158;169;180;191;202;212;226;237;248;259","less than 1 year","less than 1 year",23,"2007_spring",1,8,"R",11,6,7,40,2.5
"308","bx6",2,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA,"2011_fall",1,21,"",18,12,7,56,3.3
"309","bx9",4,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA,"2011_spring",2,22,"P",14,16,6,55,2.2
"310","by1",3,1,"Male",1987,"Arabic","Arabic","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Teacher corrected my mistakes","","","no","","","","no","","2;8;14;20;26;45;56;67;78;89;103;118;129;151;165;176","more than 5 years","3-5 years",19,"2006_spring",1,13,"P",19,9,3,47,2.5
"311","by2",0,0,"Male",1988,"Chinese","Chinese;English","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","Japanese","less than 1 year","no","Studied by myself","","","no","","622;623;631;643;644","more than 5 years","none",21,"2010_spring",NA,27,"",24,10,11,64,2.5
"312","by3",19,7,"Male",1987,"Thai","Thai","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","622;631;642;643;644","more than 5 years","none",22,"2010_spring",NA,26,"",22,21,12,71,4.8
"313","by4",0,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA,"2012_summer",1,12,"Q",10,9,17,55,2.2
"314","by5",2,0,"Female",1989,"Chinese","Chinese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","724;725;726;727;728;802;803;809;810;811","more than 5 years","less than 1 year",21,"2010_fall",2,20,"",19,17,8,63,3.3
"315","by6",22,5,"Male",1981,"Chinese","Chinese;Taiwanese","English","3-5 years","no","Studied by myself;other","Japanese","less than 1 year","no","Studied by myself","","","no","","338;339;340;341;342;389;390;391;392;393","3-5 years","less than 1 year",27,"2008_spring",1,20,"Q",17,11,8,55,3.6
"316","by8",3,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA,"2012_spring",1,16,"Q",10,9,6,41,2.3
"317","by9",5,1,"Female",1979,"Italian","Italian","English","more than 5 years","yes","Studied grammar;Teacher spoke to me in English;other","","","no","","","","no","","353;354;355;356;357","more than 5 years","none",28,"2008_spring",1,25,"Q",30,33,16,86,3.3
"318","bz1",34,1,"Male",1977,"Chinese","English;Chinese;Taiwanese","Japanese","less than 1 year","no","Studied by myself","English","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;other","","","no","","215;226;237;248;259;276;287;298;320","more than 5 years","none",30,"2007_summer",1,21,"Q",19,15,9,62,3.5
"319","bz2",33,3,"Female",1989,"Chinese","Chinese;Taiwanese","English","3-5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","415;426;450;451;452;480;482;483;484;505;534;535;536;537","more than 5 years","none",19,"2008_fall",2,18,"Q",17,12,4,48,3.5
"320","bz3",0,1,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA,"2010_spring",2,15,"P",18,11,8,56,3.1
"321","bz5",11,0,"Male",1974,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","","","no","","","","no","","215;223;234;245;259;277;284;295;321;355;357;363;389;390;391;392;393","less than 1 year","less than 1 year",33,"2007_summer",1,15,"Q",20,18,8,65,2
"322","bz9",35,5,"Male",1983,"Arabic","Arabic","English","1-2 years","yes","Studied grammar;Worked in pairs/groups;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","","","no","","","","no","","43;54;64;76;87;104;116;125;152;165;176;187;209","1-2 years","less than 1 year",23,"2006_summer",1,9,"R",14,7,9,46,2
