"","anon_id","count_will_construction","count_goingTo_construction","gender","birth_year","native_language","language_used_at_home","non_native_language_1","yrs_of_study_lang1","study_in_classroom_lang1","ways_of_study_lang1","non_native_language_2","yrs_of_study_lang2","study_in_classroom_lang2","ways_of_study_lang2","non_native_language_3","yrs_of_study_lang3","study_in_classroom_lang3","ways_of_study_lang3","course_history","yrs_of_english_learning","yrs_in_english_environment","age"
"334","bx6",2,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"335","bx9",4,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"336","by1",2,1,"Male",1987,"Arabic","Arabic","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Teacher corrected my mistakes","","","no","","","","no","","2;8;14;20;26;45;56;67;78;89;103;118;129;151;165;176","more than 5 years","3-5 years",19
"337","by2",0,0,"Male",1988,"Chinese","Chinese;English","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","Japanese","less than 1 year","no","Studied by myself","","","no","","622;623;631;643;644","more than 5 years","none",21
"338","by3",19,7,"Male",1987,"Thai","Thai","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","622;631;642;643;644","more than 5 years","none",22
"339","by4",0,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"340","by5",2,0,"Female",1989,"Chinese","Chinese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","724;725;726;727;728;802;803;809;810;811","more than 5 years","less than 1 year",21
"341","by6",19,5,"Male",1981,"Chinese","Chinese;Taiwanese","English","3-5 years","no","Studied by myself;other","Japanese","less than 1 year","no","Studied by myself","","","no","","338;339;340;341;342;389;390;391;392;393","3-5 years","less than 1 year",27
"342","by8",3,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"343","by9",5,1,"Female",1979,"Italian","Italian","English","more than 5 years","yes","Studied grammar;Teacher spoke to me in English;other","","","no","","","","no","","353;354;355;356;357","more than 5 years","none",28
"344","bz1",34,1,"Male",1977,"Chinese","English;Chinese;Taiwanese","Japanese","less than 1 year","no","Studied by myself","English","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;other","","","no","","215;226;237;248;259;276;287;298;320","more than 5 years","none",30
"345","bz2",25,3,"Female",1989,"Chinese","Chinese;Taiwanese","English","3-5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","415;426;450;451;452;480;482;483;484;505;534;535;536;537","more than 5 years","none",19
"346","bz3",0,1,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"347","bz5",10,0,"Male",1974,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","","","no","","","","no","","215;223;234;245;259;277;284;295;321;355;357;363;389;390;391;392;393","less than 1 year","less than 1 year",33
"348","bz9",28,5,"Male",1983,"Arabic","Arabic","English","1-2 years","yes","Studied grammar;Worked in pairs/groups;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","","","no","","","","no","","43;54;64;76;87;104;116;125;152;165;176;187;209","1-2 years","less than 1 year",23
"349","ca0",6,0,"Female",1982,"Thai","Thai;English","Thai","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Practiced speaking in class;Teacher spoke to me in Thai;Practiced reading aloud;Wrote paragrphs/essays","English","more than 5 years","no","Studied by myself","","","no","","475;476;477;478;479","more than 5 years","1-2 years",26
"350","ca4",110,0,"Male",1968,"Chinese","Chinese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","","","no","","","","no","","162;173;184;195;206;276;287;298;320;348;349;350;351;352","more than 5 years","1-2 years",38
"351","ca5",31,17,"Male",1997,"Arabic","Arabic;English","English","more than 5 years","yes","Studied grammar;Studied vocabulary","","","no","","","","no","","96;108;120;144;156;167;178;202;212;223;234;245;256;270;284;292;314;336;337;343;344;345","more than 5 years","less than 1 year",27
"352","ca6",11,1,"Male",1984,"Korean","Korean","English","1-2 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","270;284;295;314;338;342","1-2 years","1-2 years",22
"353","ca7",4,0,"Male",1989,"Chinese","Chinese","English","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","465;466;467;468;469","more than 5 years","1-2 years",19
"354","ca8",0,0,"Female",NA,"Korean","","","","","","","","","","","","","","","","",NA
"355","ca9",0,0,"Female",1978,"Korean","Korean","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","French","less than 1 year","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Studied pronunciation","","","no","","333;334;335;336;337;374;375;376;377;378","less than 1 year","less than 1 year",29
"356","cb0",19,0,"Female",1970,"Chinese","Chinese","English","3-5 years","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","523;524;525;526;527;590;591;592;593;594","3-5 years","3-5 years",39
"357","cb1",1,0,"Male",1982,"Arabic","Arabic","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays;other","","","no","","","","no","","2;8;14;20;26;45;56;67;78;89;106;118;130;154","more than 5 years","3-5 years",23
"358","cb2",6,0,"Female",1979,"Japanese","Japanese","English","more than 5 years","no","Studied by myself;other","","","no","","","","no","","333;334;337;366;378;476","more than 5 years","none",28
"359","cb3",22,6,"Male",1984,"Chinese","Chinese;Taiwanese;Japanese","English","more than 5 years","no","Studied by myself;other","","","no","","","","no","","96;110;122;144;157;171;182;201;216;231;241;252;260;277;320","more than 5 years","more than 5 years",22
"360","cb5",31,2,"Male",1983,"Vietnamese","Vietnamese","English","3-5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","557;558;571;708;731;732","3-5 years","less than 1 year",26
"361","cb7",2,1,"Female",1978,"German","German","English","3-5 years","yes","Studied grammar;Studied vocabulary;Teacher corrected my mistakes;Wrote paragrphs/essays","Latin","3-5 years","yes","Studied grammar;Studied vocabulary;Teacher corrected my mistakes;other","","","no","","460;461;464;487;488","3-5 years","less than 1 year",31
"362","cb8",154,19,"Male",1987,"Arabic","Arabic","English","more than 5 years","yes","Studied grammar","","","no","","","","no","","41;52;63;74;85;96;108;120;144;158;169;180;202;215;226;237;248;259;272;283;294;320","3-5 years","none",19
"363","cb9",18,4,"Male",1987,"Arabic","Arabic","English","1-2 years","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary","","","no","","","","no","","41;52;63;74;85;96;108;122;144;156;169;182;201","more than 5 years","less than 1 year",19
"364","cc1",8,0,"Unknown",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"365","cc4",47,1,"Male",1984,"Korean","Korean;English","English","3-5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs)","German","less than 1 year","yes","Studied vocabulary","","","no","","157;168;178;189;201;216;227;235;246;260;276;287;294;320","1-2 years","less than 1 year",23
"366","cc6",6,1,"Female",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"367","cc7",2,0,"Female",1978,"Thai","Thai;English","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Listened to audio materials (tapes/CDs);Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","205","more than 5 years","none",28
"368","cd2",19,0,"Female",1985,"Chinese","Chinese","English","more than 5 years","no","Studied by myself;I learned from my friend who is a native speaker;I lived in a country where they spoke English;other","Japanese","1-2 years","no","Studied by myself;other","","","no","","485;486;487;488;489","more than 5 years","more than 5 years",23
"369","cd3",5,2,"Male",1984,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English","Japanese","less than 1 year","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in Japanese","","","no","","430;431;432;433;434","more than 5 years","less than 1 year",24
"370","cd4",1,0,"Male",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"371","cd6",16,0,"Female",1982,"Chinese","Chinese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","44;54;66;76;87;102;114;126;150;175;208","more than 5 years","none",23
"372","cd8",2,1,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"373","ce1",0,1,"Female",NA,"Montenegrin","","","","","","","","","","","","","","","","",NA
"374","ce2",38,12,"Male",1990,"Arabic","Arabic","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes","","","no","","","","no","","528;529;530;531;532;590;591;592;593;594;643;645","more than 5 years","less than 1 year",20
"375","ce3",18,1,"Female",1980,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud","French","1-2 years","no","Studied by myself","","","no","","476;479;502;503;537;538;539;580;581;584","more than 5 years","more than 5 years",28
"376","ce6",3,0,"Female",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"377","ce7",17,2,"Male",1980,"Arabic","Arabic","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","212;223;234;256;269;280;294;313;367;369;373;375;376;430;431;438;439;447","more than 5 years","none",27
"378","ce8",1,0,"Male",1984,"Korean","Korean","English","3-5 years","yes","Studied grammar","Japanese","less than 1 year","yes","Studied grammar;Studied vocabulary","","","no","","845;846;847;858;859","3-5 years","less than 1 year",26
"379","cf0",17,0,"Male",1992,"Chinese","Chinese;English;Italian","Italian","less than 1 year","no","I lived in a country where they spoke Italian","","","no","","","","no","","601;617;618;630;636;690;691;751","3-5 years","less than 1 year",17
"380","cf1",3,0,"Male",NA,"Korean","","","","","","","","","","","","","","","","",NA
"381","cf2",10,0,"Male",1983,"Thai","Thai","English","3-5 years","no","Studied by myself;other","","","no","","","","no","","376;377;394;395;398;434;440;441;442;443;506;507","3-5 years","less than 1 year",25
"382","cf3",2,0,"Female",NA,"Thai","","","","","","","","","","","","","","","","",NA
"383","cf6",5,0,"Female",NA,"Korean","","","","","","","","","","","","","","","","",NA
"384","cf7",3,1,"Female",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"385","cf9",12,1,"Female",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"386","cg1",15,0,"Unknown",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"387","cg2",8,2,"Unknown",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"388","cg3",27,1,"Female",NA,"Japanese","","","","","","","","","","","","","","","","",NA
"389","cg6",7,0,"Male",1971,"Arabic","Arabic;English","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","Turkish","less than 1 year","yes","Worked in pairs/groups;Had a native-speaker teacher;Practiced speaking in class;Teacher spoke to me in Turkish","","","no","","45;56;67;89;105;117;129;153;231","more than 5 years","3-5 years",35
"390","cg8",0,0,"Female",1968,"French","French","Korean","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Korean;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","Japanese","1-2 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials;Teacher spoke to me in spanish;Studied pronunciation","Spanish","1-2 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials;Teacher spoke to me in spanish;Practiced reading aloud;Teacher corrected my mistakes","333;334;337;345;346","less than 1 year","3-5 years",40
"391","cg9",3,1,"Female",1979,"Arabic","Arabic","English","1-2 years","no","Studied by myself","","","no","","","","no","","525;526;538;539;542","1-2 years","3-5 years",30
"392","ch0",12,0,"Female",1976,"Spanish","Spanish","English","1-2 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Studied pronunciation;Teacher corrected my mistakes","","","no","","","","no","","555;556;559;562;563;632;633;634;635;636","less than 1 year","less than 1 year",32
"393","ch1",15,7,"Female",1976,"Turkish","Turkish","English","less than 1 year","yes","Studied grammar;Studied vocabulary;Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes","","","no","","","","no","","328;329;332;335;420;431;434;504;505","less than 1 year","none",32
"394","ch2",16,0,"Female",NA,"Korean","","","","","","","","","","","","","","","","",NA
"395","ch4",14,0,"Female",1958,"Arabic","Arabic;English","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","French","none","no","Studied by myself","","","no","","385;386;387;388","more than 5 years","3-5 years",22
"396","ch5",4,1,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"397","ch7",0,0,"Male",1985,"Arabic","Arabic","English","less than 1 year","yes","Studied grammar;Studied vocabulary;Practiced reading aloud","","","no","","","","no","","2;8;14;20;26;46;57;68;79;90;106;114;130;150","none","1-2 years",20
"398","ch9",1,1,"Male",NA,"Korean","","","","","","","","","","","","","","","","",NA
"399","ci0",30,0,"Female",1986,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays","Chinese","1-2 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud","","","no","","384;385;386;387;388;440;441;444;453;454","more than 5 years","less than 1 year",21
"400","ci1",6,2,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"401","ci2",23,0,"Male",1976,"Chinese","Chinese;Taiwanese;English","Taiwanese","more than 5 years","no","Studied by myself;I lived in a country where they spoke Taiwanese","Japanese","less than 1 year","yes","Studied vocabulary;Practiced speaking in class;Teacher spoke to me in Japanese;Studied pronunciation","","","no","","274;285;296;318;353;354;355;356;357","more than 5 years","less than 1 year",31
"402","ci3",29,1,"Female",1981,"Taiwanese","Chinese;Taiwanese","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","99;111;124;147","more than 5 years","less than 1 year",25
"403","ci4",8,1,"Female",1993,"Spanish","Spanish","English","less than 1 year","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays","Italian","less than 1 year","yes","Studied vocabulary;Practiced speaking in class;Teacher spoke to me in Italian;Studied pronunciation;Teacher corrected my mistakes","","","no","","557;558;559;597","more than 5 years","less than 1 year",16
"404","ci5",42,1,"Male",1980,"Arabic","Arabic;English","English","1-2 years","yes","Practiced speaking in class","","","no","","","","no","","379;380;381;382;383;523;526;539;540;542;590;591;592;593;594","3-5 years","1-2 years",28
"405","ci6",15,7,"Female",1980,"Thai","Thai","English","less than 1 year","no","I lived in a country where they spoke English","","","no","","","","no","","364;365;366;367;368;435;436;437;438;439;518;519;522;531;535;585;589","less than 1 year","less than 1 year",28
"406","ci7",0,0,"Male",1982,"Arabic","Arabic;French","French","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in French;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","English","3-5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","424;425;426;427;428","3-5 years","none",25
"407","ci9",10,1,"Female",1969,"Chinese","Chinese;Shanghainese","English","more than 5 years","no","Studied by myself;I learned from my friend who is a native speaker;I lived in a country where they spoke English","","","no","","","","no","","565;566;569;582;583","more than 5 years","more than 5 years",40
"408","cj2",21,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"409","cj3",12,1,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"410","cj5",38,2,"Female",19,"Chinese","Chinese;English","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher corrected my mistakes","French","less than 1 year","yes","Studied vocabulary;Teacher corrected my mistakes","","none","no","Studied by myself","687;688;705;706;707;749;750;751;752;753;809;810","more than 5 years","less than 1 year",86
"411","cj7",4,0,"Male",1985,"Arabic","Arabic","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays;other","","","no","","","","no","","508;509;515;516;517;601;612;613;615;616;657;658;666;684;685;719;720;723;735;736","less than 1 year","less than 1 year",23
"412","cj8",61,9,"Male",1983,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","Japanese","less than 1 year","yes","Practiced speaking in class","","","no","","328;329;330;331;332;384;385;386;387;388;445;446;447;448;449","more than 5 years","less than 1 year",24
"413","ck0",2,1,"Male",NA,"Korean","","","","","","","","","","","","","","","","",NA
"414","ck1",9,0,"Male",1992,"Arabic","Arabic;English","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","715;718;743;745;746;797;800;812;819;820","more than 5 years","none",18
"415","ck2",13,0,"Female",1958,"Arabic","Arabic","","","","","","","","","","","","","469;482;483;485;486;533;540;541","more than 5 years","3-5 years",51
"416","ck3",9,0,"Male",1982,"Chinese","Chinese","English","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","389;390;391;392;393;440;441;442;443;444","more than 5 years","less than 1 year",26
"417","ck4",64,3,"Male",1984,"Arabic","Arabic","English","1-2 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","480;481;484;498;506;538;539;540;542;544","1-2 years","more than 5 years",25
"418","ck6",9,0,"Male",1987,"French","French","German","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in German;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","Latin","more than 5 years","yes","Studied grammar;Studied vocabulary;Studied pronunciation;Practiced reading aloud;other","","","no","","753;759;760;761;762","more than 5 years","less than 1 year",23
"419","ck7",2,0,"Male",NA,"Japanese","","","","","","","","","","","","","","","","",NA
"420","ck9",38,5,"Male",1984,"Chinese","Chinese","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays;other","","","no","","","","no","","350;351;353;354;357","more than 5 years","none",24
"421","cl1",52,1,"Male",1982,"Arabic","Arabic","English","1-2 years","no","Studied by myself;other","","","no","","","","no","","374;375;376;377;378;442;443;445;446;449;533","1-2 years","3-5 years",26
"422","cl2",6,0,"Male",1983,"Chinese","Chinese;Taiwanese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","333;334;335;336;337;379;380;381;382;383","more than 5 years","less than 1 year",24
"423","cl3",8,0,"Male",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"424","cl4",7,1,"Male",1986,"Arabic","Arabic","English","1-2 years","no","Studied by myself","","","no","","","","no","","1;7;13;19;25;43;53;64;75;86;98;113;125;149","more than 5 years","less than 1 year",20
"425","cl5",18,0,"Male",1987,"Arabic","Arabic","English","less than 1 year","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","770;771;778;779;781;856;857;859;861;871;952;953;954;955;956;998;999;1000;1001;1002","less than 1 year","less than 1 year",23
"426","cl6",11,7,"Female",1985,"Chinese","Chinese;English","Chinese","more than 5 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in Chinese;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","609;610;649;650;651;677;678;705;706;707;759;760;761;762;763","more than 5 years","more than 5 years",24
"427","cl7",15,0,"Female",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"428","cl9",11,0,"Female",NA,"Suundi","","","","","","","","","","","","","","","","",NA
"429","cm2",8,4,"Male",1981,"Arabic","Arabic","English","1-2 years","yes","Studied vocabulary;Teacher spoke to me in English;Teacher corrected my mistakes","","","no","","","","no","","364;365;366;367;368;422;439","none","none",26
"430","cm4",3,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"431","cm7",10,5,"Male",1983,"Arabic","Arabic","English","less than 1 year","no","Studied by myself","","","no","","","","no","","512;513;514;515;516;572;573;574;575;576;632;633;634;635;636","less than 1 year","less than 1 year",25
"432","cm8",77,7,"Female",1983,"Russian","Russian","French","more than 5 years","no","Studied by myself;I learned from my friend who is a native speaker","English","1-2 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","412;413;414;415;477;478;479;481;542;543;544","1-2 years","less than 1 year",25
"433","cm9",5,7,"Female",NA,"Spanish","","","","","","","","","","","","","","","","",NA
"434","cn0",20,4,"Male",1984,"Arabic","Arabic;English","English","1-2 years","no","Studied by myself;I learned from my friend who is a native speaker;I lived in a country where they spoke English","","","no","","","","no","","861;862;863;864;865;944;952;953;955;956","1-2 years","less than 1 year",27
"435","cn1",16,0,"Female",1985,"Spanish","Spanish","English","more than 5 years","yes","Studied grammar;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud","Italian","less than 1 year","yes","Studied grammar;Had a native-speaker teacher;Listened to audio materials (tapes/CDs);Teacher spoke to me in Italian;Practiced reading aloud","","","no","","376;377;378;379;395;442;443;444;445","more than 5 years","less than 1 year",23
"436","cn2",0,0,"Female",1978,"Turkish","Turkish","English","1-2 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","270;281;292;314","1-2 years","1-2 years",29
"437","cn3",11,1,"Female",1976,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced reading aloud;Teacher corrected my mistakes","French","1-2 years","yes","Studied grammar;Studied vocabulary;Teacher spoke to me in Japanese","Japanese","less than 1 year","yes","Studied grammar;Studied vocabulary;Teacher spoke to me in Japanese;Practiced reading aloud","512;513;514;515;516;575;576;577;578;579","more than 5 years","none",33
"438","cn4",71,3,"Male",1978,"Thai","Thai","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Teacher corrected my mistakes","","","no","","","","no","","518;519;520;521;522;582;583;585;586;589","more than 5 years","none",31
"439","cn7",2,1,"Male",1978,"Arabic","Arabic","English","more than 5 years","yes","Had a native-speaker teacher;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Wrote paragrphs/essays","","","no","","","","no","","156;169;180;200;213;227;238;249;257","none","more than 5 years",20
"440","cn8",0,0,"Female",NA,"Russian","","","","","","","","","","","","","","","","",NA
"441","cn9",10,1,"Male",1967,"Spanish","Spanish","English","less than 1 year","yes","Had a native-speaker teacher;Practiced speaking in class;Teacher spoke to me in English;Teacher corrected my mistakes","","","no","","","","no","","217;228;239;250;261","less than 1 year","1-2 years",39
